product_name,brand,category,initial_price,final_price,rating,brand_encoded,category_encoded
"Tall Narrow Bathroom Storage Cabinet With 3 Drawers And 2 Shelves, Free Standing Kitchen Pantry Organizer With Open Compartment, Water-Resistant Finish",SHEIN,Storage Cabinets,120.99,120.99,0,25,397
"1PC Natural Yellow Rainbow Halo Raw Crystal, Aromatherapist Stone, Home Decoration, Office Decoration, Holiday Gifts.",SHEIN,Crystal Shapes & Carvings,2.1,2.1,0,25,84
1PC Sexy Lingerie Body StockingOpen Crotch Hollow Out See Through Bodystocking Without Underwear,SHEIN,Women Sexy Bodysuits,3.39,2.14,0,25,485
"Italian Genuine Leather Thick Belt For Men, Retro Solid Brass Buckle",SHEIN,Men Belts,22.8,21.3,0,25,259
Unbeatablesale Hylomar 61701 13.53 Oz Hylomar Cleaner Spray Can,Unbeatablesale,Other Commercial Cleaning Supplies,28.53,28.53,0,30,287
"1 Set Cup & Saucer, Cute Cat Pattern, High-End Coffee Cup & Saucer Set, Latte Art",SHEIN,Teacup & Saucer Sets,12.7,12.2,0,25,416
"Unbeatablesale PIX North America MXV4-410 0.5 X 41 In. Heavy-Duty Lawn & Garden Equipment Belt,; Black",Unbeatablesale,Tool Cases,16.98,16.98,0,30,422
"30pcs,40in Rocket Balloons 6 Assorted Colors Flying Magic Long Balloons With Whistling Noise Premium-Quality Latex Balloon For Parties",SHEIN,Decorative Balloons,2.2,2.1,0,25,98
"20pcs Artificial Green Plant Leaves Valentine'S Day Gift DIY Cake Decoration, Candy Box, Birthday Party Decoration, Wedding Flower Basket, Bride Holding Flowers, Home Decoration, Dining Room, Bedroom, Windowsill Decoration, Vase Ornaments, Valentine'S Day, New Year Decoration, Outdoor Garden, Start Of School Season",SHEIN,Artificial Plants,1.5,0.83,0,25,6
"10pcs Transparent Baking Boxes With Window, Dessert Box, Pastry Box,  Gift Box, Easy And Convenient, Safe For Food Contact, Can Be Mixed And Assembled Sweets, Chocolates, Perfect For Celebrations And Home Baking",SHEIN,Wrapping & Packaging,7.8,6.63,0,25,501
1PC Retro Resin Telephone Figurine Piggy Bank Vintage Coin Bank Phone Birthday Gift Coffee Shop Decor(17CM*14.5CM*16CM),SHEIN,Decorative Crafts,21.3,20.5,0,25,100
30pcs Nail Art Decorations DIY Art Punk Style Mixed Pumpkin/Spider/Bat/Witch/Vampire 3D Three-Dimensional Nail Art Decoration Accessories Jewelry,SHEIN,Rhinestones & Decorations,2.0,1.7,0,25,356
"Juvale Wooden Drawer Organizer With 12 Compartments, Divided Tray For Arts And Crafts Supplies, Stationery, Small Items, 12 Grid Sorting Tray, Dark Brown (13.2 X 9.2 X 1.5 Inches) Halloween Decorations Halloween Costumes Autumn Decor Festival Decor",SHEIN,Storage Drawers,25.7,17.99,0,25,398
Unbeatablesale K Tool International KTI22521 3/8 Inch Drive Flex Spark Plug Socket 5/8 Inch,Unbeatablesale,Sockets,13.5,13.5,0,30,381
"1PC Large Waterproof Makeup Bag With Handle - Travel Toiletry Organizer For Women And Girls - Spacious Cosmetic Storage For Essentials - Perfect Gift, Cruise Essentials Dorm Essentials,Wedding Bridesmaid Gifts,Mom Gifts,Birthday Gifts,Gifts For Friends And Teachers,Home Decor,Bathroom Livingroom Bedroom Decor,Bathroom Organizer,Jewelry Organizer,Lip Oil Organizer,Nail Polish Organizer Makeup Bag Storage Makeup Organizer Makeup Case",SHEIN,Travel Glasses Bag,12.0,11.2,0,25,427
"35pcs Mixed Acrylic Body Piercing Pearl Effect, Transparent Dual Color, Matte Tongue Rings For Women, Everyday And Festival Wear",SHEIN,Women Tongue Ring,6.1,4.55,0,25,492
Dolce & Gabbana 1.6oz The Only One For Women -  EDP Spray,Dolce & Gabbana,Perfume,98.0,66.74,0,7,323
Unbeatablesale 1467 Performer Series Accelerator Pump Assembly,Unbeatablesale,Car Replacement Parts,35.33,35.33,0,30,45
Unbeatablesale Jumbo Insulated Travel Bag,Unbeatablesale,Men Tote Bags,22.16,22.16,0,30,270
"Jepeak Jepeak Decorative Linen Throw Pillow Covers Cushion Cases, Pack Of 4 Rustic Woven Textured Pillow Covers For Sofa Bed Couch, 18x18 Inch",Jepeak,Cushion Cover,33.6,24.2,0,12,87
1-Piece Rustic Style Hard  Notebook With Simple Rose Print Design,SHEIN,Notebooks,4.8,4.8,0,25,281
"300 Color Professional Oil Colored Pencils Artist Pencils Set Soft Series Lead For Coloring Book Sketching Drawing Art Supplies Quality Soft Core Colored Leads For Adult , Professionals And Colorists | Protected And Organized In Presentation Tin Box",SHEIN,Colored Pencils,79.2,79.2,0,25,72
"PHNIBIRD Four-Leaf Clover Zirconia Necklace, Women's Necklace, Women's Pendant Necklace, Hypoallergenic Material, Silver, Embedded Zirconia Necklace, Fashionable And Simple, Daily Commute, Daily Wear, Fashion Versatile, Daily Commute, Gift For Sister, Gift For Yourself, Gift For Sister, Birthday Gift, Graduation Gift, Holiday Gift, College Style, Casual Style, Resort Style",SHEIN,Fine Pendant Necklaces,10.2,10.2,0,25,145
360Pcs Hypoallergenic DIY Earring Hooks For Jewelry Earring Making Supplies Kit Gold And Silver Fish Hook Earring Set,SHEIN,Jewelry Making Findings,18.99,15.99,0,25,203
"1pc Tree Pattern Decorative Throw Pillow Cover (Pillow Insert Not Included), Soft & Comfortable Single-Sided Printed Cushion Cover For Bedroom, Living Room, Sofa, Party Decoration",SHEIN,Cushion Cover,2.5,2.0,0,25,87
"Unbeatablesale Keeper 8874430 16 Ft. Multicolored Tie Down Strap, 3333 Lbs",Unbeatablesale,Other Tool Organizers,33.83,33.83,0,30,304
"1pc Unisex Brown PU Leather Cuff Bracelet With Circular Decor, Vintage Medieval Viking Warrior Cosplay Accessory Halloween",SHEIN,Handwear,3.9,3.32,0,25,182
"1PC Magic Small Hand With Magnet, Prank Props Dark Magic Toy, Simple Coin Magic,Horror Magic Funny Game Toy,Halloween Party Games Favors Activity Supplies",SHEIN,Party Games & Activities,1.7,1.67,0,25,316
"Unbeatablesale Jiallo 15120 Clock,; Thermometer & Hygrometer",Unbeatablesale,Wall Decoration,89.02,89.02,0,30,435
Unbeatablesale Jiallo 33016 Mirrored Jewelry Organizer 3 Compartments,Unbeatablesale,Jewelry Boxes,41.2,41.2,0,30,197
Unbeatablesale 32.25 In. W X 8.87 In. H X 1.62 In. P Architectural Accent - Legacy Center Onlay,Unbeatablesale,Wall Decoration,46.8,46.8,0,30,435
"1PC Silk Roses Vine Artificial Flowers Fake Green Leaf Plants Valentine's Day Bride Bouquet For Autumn Decorations Wedding Vase For Home Dining Room Bedroom Decorations, Festival Birthday Party Accessories, Outdoor Garden Decorations",SHEIN,Artificial Flowers,2.3,1.77,0,25,4
Unbeatablesale Suntime Boston College Eagles-Football Helmet Wall Clock,Unbeatablesale,Other Sports Accessories,48.61,48.61,0,30,300
Unbeatablesale KB CR1439 70 X 17 X 17 In. Coat Rack With Storage - Cherry,Unbeatablesale,Coat Racks,175.18,175.18,0,30,68
Unbeatablesale Syracuse Orange Spirit Series Sportula Grill Spatula,Unbeatablesale,Other Sports Accessories,29.74,29.74,0,30,300
1PC Natural Crystal XiuYu Jade Pagoda Hand Carved Figurine Engrgy Stone Quartz Freeform Phantom Tree Carving Crafts Halloween Ornament For Gifts Home Office Desktop Decoration,SHEIN,Table Decorative Ornaments,20.6,19.9,0,25,409
"Sun Protective Anti UV  1pc Summer Sunscreen Breathable Ice Silk Mask, Women Skin Friendly Comfortable Sun Protection Anti-UV Mask Ski Mask,Suitable For Cycling,Riding Motorcycle And Skiing",SHEIN,Cycling Mask & Scarf,1.8,1.37,0,25,94
"144 Pieces Pizza Party Supplies Pack Decorations, Dinnerware Set With Plates, Napkins, Cups, And Cutlery (Serves 24) , Festival, Party , For Halloween Or Christmas Party",SHEIN,Disposable Tableware Sets,38.99,23.49,0,25,119
Unbeatablesale Jacks 10239 Forged 14 In. Nail Clincher,Unbeatablesale,Horse Grooming & Bathing Supplies,38.69,38.69,0,30,190
10 Pcs Bohemian European And American Sports Headbands For Women Wide Yoga Elastic Headbands Running Headbands Sports Hair Accessories Headdresses,SHEIN,Hair Bands,7.8,7.5,0,25,173
Synthetic African Fluffy Drawstring Ponytail Hair Extensions For Women Short African Curling Clip Curly Drawstring Bun (1B ),SHEIN,Synthetic Extensions,14.2,11.01,0,25,403
10pcs Transparent Chocolate Bouquet DIY Packaging Materials Finished Flower Shop Materials Valentine's Day Supplies Chocolate Cup Tray,SHEIN,Other Party Supplies,2.8,2.8,0,25,297
"1 Set,Automatic Watering System Indoor Drip Irrigation System With 10 Heads Plant Watering Unit,Yard And Garden Watering Can For Indoor Outdoor Plants 5.25Ft",SHEIN,Watering Kits,5.7,4.85,0,25,441
"1 Set Of 2 Pieces Mop And Bucket Set With New Separation Of Clean And Dirty Water Design, Household Rotating Mop, Slouchy Mop, Hands-Free Flat Sucker Mop, Suitable For Daily Use",SHEIN,Mops and Mop Sets,74.6,74.6,0,25,273
"1PC Selenite Crystal Pumpkin Ghost Head Carving - Natural Rock Crystal Halloween Decor, Home & Office Ornamental",SHEIN,Crystal Shapes & Carvings,6.9,3.45,0,25,84
"1set-Halloween Party Hanging Swirl Decorations, Bat  Ghost Pumpkin Black Cat Cards Hanging Swirl Party Supplies,Halloween Party Decorations Set For Outdoor Indoor Decor",SHEIN,Party Backdrops,3.8,3.23,0,25,314
"20pcs Purple Disposable Napkins,Flower Shape Table Napkins For Weding Supplies, Party Favors, Hen Party Decorations Birthday And Restaurant",SHEIN,Disposable Napkins,2.6,2.5,0,25,118
"14pcs WHite Hair Beads Accessories For Braids,Star Pearl Small Bear Design Hair Rings Decorations,Women Hair Accessories For Hair And Dreadlocks. Street",SHEIN,Hair Clips,1.4,1.4,0,25,175
